Class,10A,10B,10C,10D,10E,10G,10H,10K,10M,10N,11A,11B,11C,11D,11E,11G,11H,11K,11M,11N,11P,11Q,11T,12A,12B,12C,12D,12E,12G,12H,12K,12M,12N
T4 - AM - Tiet 1,GV1024 - Anh,GV1008 - Toan,GV1043 - Hoa,GVNN01 - AVNN,GV1012 - Van,GV1059 - GDCD,GV1020 - Van,GVNN02 - AVNN,,,GV1013 - Van,GV1065 - TD,GV1005 - Toan,GV1073 - CN,GV1010 - Toan,GV1042 - Hoa,GV1017 - Van,GV1016 - Van,GV1060 - GDCD,GV1031 - Anh,GV1018 - Van,GV1063 - TD,GV1041 - Hoa,GV1033 - CN,GV1007 - Toan,GV1001 - Toan,GV1039 - Hoa,GV1032 - CN,GV1067 - QP,GV1052 - Su,GV1003 - Toan,GV1051 - Su,GV1023 - Anh
T4 - AM - Tiet 2,GV1057 - Dia,,GV1022 - Anh,GV1013 - Van,GV1032 - Ly,GV1051 - Su,GV1049 - Sinh,GV1034 - Ly,GV1044 - Hoa,,GVNN02 - AVNN,GV1042 - Hoa,GV1017 - Van,GV1002 - Toan,GV1026 - Anh,GV1035 - Ly,GV1031 - Anh,GV1007 - Toan,GV1037 - Ly,GV1021 - Van,GVNN03 - AVNN,GV1027 - Anh,GV1077 - Ly,GV1004 - Toan,GV1029 - Anh,GV1066 - QP,GV1005 - Toan,GV1052 - Su,GV1033 - Ly,GV1045 - Sinh,GV1015 - Van,GV1040 - Hoa,GV1001 - Toan
T4 - AM - Tiet 3,GV1024 - Anh,GV1008 - Toan,GV1017 - Van,GV1059 - GDCD,GV1043 - Hoa,GV1002 - Toan,GV1071 - Tin,GV1057 - Dia,GV1044 - Hoa,GV1033 - Ly,GV1056 - Dia,GV1018 - Van,GV1005 - Toan,GV1061 - GDCD,GV1037 - Ly,GV1006 - Toan,GV1010 - Toan,GV1016 - Van,GV1041 - Hoa,GV1021 - Van,GV1066 - QP,GV1077 - Ly,GV1025 - Anh,GV1052 - Su,GV1007 - Toan,GV1051 - Su,GV1028 - Anh,GV1022 - Anh,GV1047 - Sinh,GV1067 - QP,GV1003 - Toan,GV1011 - Van,GV1012 - Van
T4 - AM - Tiet 4,GV1076 - Van,GV1034 - Ly,GVNN03 - AVNN,GV1033 - Ly,GVNN02 - AVNN,GV1011 - Van,GV1044 - Hoa,GV1041 - Hoa,GV1032 - Ly,GV1039 - Hoa,GV1008 - Toan,GV1047 - Sinh,GV1017 - Van,GV1002 - Toan,GV1015 - SHL,GVNN01 - AVNN,GV1010 - Toan,GV1007 - Toan,GV1073 - CN,GV1031 - SHL,GV1026 - Anh,GV1013 - Van,GV1006 - Toan,GV1004 - Toan,GV1038 - CN,GV1045 - Sinh,GV1005 - Toan,GV1071 - Tin,GV1025 - Anh,GV1028 - Anh,GV1003 - Toan,GV1022 - Anh,GV1001 - Toan
T4 - AM - Tiet 5,GV1061 - GDCD,GV1008 - Toan,,GV1023 - Anh,,,GV1024 - Anh,GV1057 - Dia,GV1032 - Ly,GV1039 - Hoa,GVNN02 - AVNN,GV1018 - Van,GV1038 - Ly,GV1002 - Toan,GV1026 - Anh,GV1073 - CN,GV1017 - Van,GV1034 - Ly,GV1020 - Van,GV1031 - Anh,GV1054 - Su,GV1013 - Van,GV1006 - Toan,GV1052 - Su,GV1007 - Toan,GV1037 - Ly,GV1051 - Su,GV1022 - Anh,GV1042 - Hoa,GV1071 - Tin,GV1029 - Anh,GV1004 - Toan,GV1043 - Hoa
T4 - PM - Tiet 1,GV1003 - Toan,GV1008 - Toan,GV1017 - Van,GV1062 - TD,GV1001 - Toan,,GV1020 - Van,GV1046 - CN,GV1032 - Ly,GV1058 - Dia,GV1034 - Ly,GVNN03 - AVNN,GV1026 - Anh,GVNN02 - AVNN,GV1037 - Ly,GV1006 - Toan,GV1010 - Toan,GV1016 - Van,GV1009 - Toan,GV1021 - Van,GV1063 - TD,GV1007 - Toan,GV1025 - Anh,GV1033 - Ly,GV1043 - Hoa,GV1019 - Van,GV1005 - Toan,GV1018 - Van,GV1012 - Van,GV1067 - QP,GV1015 - Van,GV1004 - Toan,GV1071 - Tin
T4 - PM - Tiet 2,GV1024 - Anh,GV1062 - TD,GV1069 - Tin,GV1033 - Ly,GV1001 - Toan,GV1058 - Dia,GV1020 - SHL,GV1030 - Anh,GV1046 - CN,GV1019 - Van,GV1040 - Hoa,GV1004 - Toan,GV1060 - GDCD,GV1002 - Toan,GV1010 - Toan,GV1025 - Anh,GV1017 - Van,GV1016 - Van,GV1041 - Hoa,GV1021 - Van,GV1044 - Hoa,GV1053 - SHL,GV1073 - CN,GV1023 - Anh,GV1011 - Van,GV1066 - QP,GV1067 - QP,GV1007 - Toan,GV1012 - SHL,GV1005 - Toan,GV1015 - Van,GV1038 - Ly,GV1043 - Hoa
T4 - PM - Tiet 3,GV1036 - Ly,GV1069 - Tin,GV1003 - Toan,GV1023 - Anh,GV1057 - Dia,GV1046 - CN,GV1024 - Anh,GV1034 - Ly,GV1071 - Tin,,GV1013 - Van,GV1030 - Anh,GV1048 - Sinh,GV1027 - Anh,GV1015 - Van,GV1006 - Toan,GV1041 - Hoa,GV1016 - Van,GV1009 - Toan,GV1054 - Su,GV1058 - Dia,GV1007 - Toan,GV1063 - TD,GV1018 - Van,GV1066 - QP,GV1019 - Van,GV1005 - Toan,GV1045 - Sinh,GV1042 - Hoa,GV1028 - Anh,GV1067 - QP,GV1038 - Ly,GV1043 - Hoa
T4 - PM - Tiet 4,,GV1031 - Anh,GV1003 - Toan,GV1013 - Van,GV1067 - QP,GV1011 - Van,GV1046 - CN,,,GV1071 - Tin,GV1028 - Anh,GV1018 - Van,GV1038 - Ly,GV1061 - SHL,GV1010 - Toan,GV1021 - Van,GV1017 - Van,GV1016 - Van,GV1041 - Hoa,GV1034 - Ly,GV1009 - Toan,GVNN01 - AVNN,GV1006 - SHL,GV1004 - Toan,GV1007 - Toan,GV1045 - Sinh,GV1015 - Van,GV1052 - Su,GV1065 - TD,GV1005 - Toan,GV1063 - TD,GV1040 - Hoa,GV1043 - Hoa
T4 - PM - Tiet 5,GV1039 - Hoa,GV1058 - Dia,GV1003 - Toan,GV1062 - TD,GV1012 - Van,,GV1044 - Hoa,GV1034 - Ly,GV1008 - SHL,GV1010 - Toan,GV1028 - Anh,GV1066 - QP,GV1038 - Ly,GV1002 - Toan,GV1026 - Anh,GV1006 - Toan,GV1031 - Anh,GV1070 - Tin,GV1020 - Van,GV1073 - CN,GV1009 - Toan,GVNN01 - AVNN,GV1045 - Sinh,GV1023 - Anh,GV1048 - Sinh,GV1001 - Toan,GV1051 - Su,GV1007 - Toan,GV1025 - Anh,GV1052 - Su,GV1042 - Hoa,GV1067 - QP,GV1037 - CN
T5 - AM - Tiet 1,GVNN01 - AVNN,GV1034 - Ly,GV1057 - Dia,GV1009 - Toan,,GV1044 - Hoa,GV1024 - Anh,GV1071 - Tin,GV1058 - Dia,GV1010 - Toan,GV1008 - Toan,GV1018 - Van,GV1038 - SHL,GV1002 - Toan,GV1015 - Van,GV1021 - Van,GV1017 - Van,GVNN03 - AVNN,GV1020 - Van,GV1006 - Toan,GV1026 - Anh,GV1007 - Toan,GV1066 - QP,GV1004 - Toan,GV1064 - TD,GV1025 - Anh,GV1068 - Tin,GV1022 - Anh,GV1067 - QP,GV1028 - SHL,GV1003 - Toan,GV1040 - Hoa,GV1023 - Anh
T5 - AM - Tiet 2,GV1069 - Tin,GV1008 - Toan,GV1062 - TD,GV1013 - Van,GV1029 - Anh,GV1011 - Van,GV1010 - Toan,GV1067 - QP,GV1058 - Dia,GV1030 - Anh,GV1045 - Sinh,GV1004 - Toan,GV1026 - Anh,GV1020 - Van,GV1061 - GDCD,GV1021 - Van,GV1017 - SHL,GV1007 - Toan,GV1009 - Toan,GV1006 - Toan,GV1044 - Hoa,GV1027 - Anh,GV1016 - Van,GV1033 - Ly,GV1066 - QP,GV1064 - TD,GV1005 - Toan,GV1040 - Hoa,GV1003 - Toan,GV1028 - Anh,GV1042 - Hoa,GV1047 - Sinh,GV1023 - Anh
T5 - AM - Tiet 3,,GV1031 - Anh,GV1033 - Ly,GV1069 - Tin,GV1043 - Hoa,GV1036 - Ly,GV1057 - Dia,GV1059 - GDCD,,GV1071 - Tin,GV1065 - TD,GV1073 - CN,GV1017 - Van,GV1002 - Toan,GV1015 - Van,GV1035 - Ly,GV1010 - Toan,GV1030 - Anh,GV1009 - Toan,GV1006 - Toan,GV1018 - Van,GV1007 - Toan,GV1016 - Van,GV1039 - Hoa,GV1066 - QP,GV1037 - CN,GV1047 - Sinh,GV1022 - SHL,GV1012 - Van,GV1005 - Toan,GV1067 - QP,GV1004 - Toan,GV1063 - TD
